n,exito,txid,bloque,t_envio_s,t_confirmacion_s,fee_lovelace,id_registro,timestamp,error
1,True,d91baa8611e0b355ac13d4582938808de1e2b7ae7ad81b8948d1c1dac9671bfa,13687723,0.867,26.841,174917,LCD-A7D86D2F2EB0,2026-07-17T00:06:17+00:00,
2,True,bd410eea42b30218ffb69c5733a75bdd0316c5cfe9e8109a359c6852db4f2a4f,13687729,0.569,57.411,174917,LCD-698EBF3AABC3,2026-07-17T00:07:45+00:00,
3,True,da23693e98734133b535a163abb03183a579809bd0082db56b40bb23019e0233,13687733,0.598,26.49,174917,LCD-A86453F72813,2026-07-17T00:09:43+00:00,
4,True,993804c1cb1639e5d7a209485ec02a740b86cc9d07a6fcdc2fee38de94c431fa,13687736,0.595,16.33,174917,LCD-2320E7C2C3C5,2026-07-17T00:11:09+00:00,
5,True,d8250baa5701f3a5822e01abe825209ae1a04f5498810ed7d303c18a0c92d97b,13687741,0.469,67.597,174917,LCD-2FD6B5D96F5E,2026-07-17T00:12:26+00:00,
6,True,c2f5511ee2c97a1b8ea20aaeb3859fca463c6fd94f65d4fc5db75b5e2f7f88f1,13687745,0.572,103.883,174917,LCD-6FB2B356113B,2026-07-17T00:14:33+00:00,
7,True,ca8d73eb62fd4ca875cc786e7fe3198ffd0d291f73e051b3e6967e056efee5e4,13687747,0.472,41.936,174917,LCD-32312EFBDF12,2026-07-17T00:17:17+00:00,
8,True,ff9d5d7abaecb229eb0f4c9a43b3225cdcdcd5038254e37c986d79194e4aaee7,13687752,0.672,26.806,174917,LCD-9998D7067B41,2026-07-17T00:18:59+00:00,
9,True,078c21064b1cbbeb35f09d10b3f1848a132b76a8fc67e37bfd5f05e19ed5e0e9,13687756,0.484,16.051,174917,LCD-16D5477DEA85,2026-07-17T00:20:26+00:00,
10,True,381469cc086365521923b9a6047ce3e1abf4865f25f8123631132a019283dab4,13687760,0.692,67.997,174917,LCD-A1CBB9F6CF4E,2026-07-17T00:21:42+00:00,
