n,exito,txid,bloque,t_envio_s,t_confirmacion_s,fee_lovelace,id_registro,timestamp,error
1,True,191b4ff521d9c52b20158a580f281d123a279efeda966b0eb25e78cd4f51fb47,13686821,0.709,16.389,174917,LCD-D73B846D0A90,2026-07-16T18:58:38+00:00,
2,True,ce39381098838af08a184127116a58d0f58f83d7922b3013da0401fd0b750861,13686822,0.627,16.289,174917,LCD-5755A2F2CA77,2026-07-16T18:59:55+00:00,
3,True,0c8ad7ceb8fa09312125204e1be604c4b4ec4b0c3ef9e94b392db2448cace0e7,13686825,0.726,11.289,174917,LCD-9282FA22301E,2026-07-16T19:01:12+00:00,
4,True,88c4805220465cef5f578489cb8d70029ae89680c18627d5bc2cd9e46b5cb77d,13686828,0.753,16.459,174917,LCD-C7DFDAE3489C,2026-07-16T19:02:23+00:00,
5,True,80e26b62cac4b989f6d850df50b8553cda05349bd8a62816b050a30d2d5cfcb2,13686833,0.828,16.57,174917,LCD-92548780778F,2026-07-16T19:03:39+00:00,
6,True,0f3bc4439869a02a3677ed2ae9b5861013aad4cf6a6371306606da80a1fa12b4,13686840,0.573,11.026,174917,LCD-230730DAC72C,2026-07-16T19:04:56+00:00,
7,True,874169284b895864bf892a13b76c7517aa69a4baa6e3bb578dd5a1aeb7a9387e,13686844,0.535,52.462,174917,LCD-D37E1C5E7FB0,2026-07-16T19:06:07+00:00,
8,True,76bd2e78d282af50331937e2d6030a3f08c6ce99c2a8af80d5c409392b59122f,13686850,0.737,47.278,174917,LCD-7B4482D33E9D,2026-07-16T19:07:59+00:00,
9,True,a5b6125e5c0b17c33d031879ff963c0cf7619539c989ad49240947605dbcbd57,13686856,0.604,10.984,174917,LCD-03CF3A037742,2026-07-16T19:09:47+00:00,
10,True,f5a20c723e9a9a20c5b7588c4be3918862d727f84806d8b052d017cd0addd174,13686861,0.47,36.641,174917,LCD-E2186613012E,2026-07-16T19:10:58+00:00,
